res\\MapData\\brick.FBX,res\\MapData\\brick.dds,res\\MapData\\brick_NRM.dds,395,-180,600
res\\MapData\\brick2.FBX,res\\MapData\\brick2.dds,res\\MapData\\brick2_NRM.dds,395,-180,450
res\\MapData\\ice.FBX,res\\MapData\\ice.dds,res\\MapData\\ice_NRM.dds,200,-180,400
res\\MapData\\ice2.FBX,res\\MapData\\ice2.dds,res\\MapData\\ice2_NRM.dds,350,-180,500
res\\MapData\\soil.FBX,res\\MapData\\soil.dds,res\\MapData\\soil_NRM.dds,350,-180,500
res\\MapData\\soil2.FBX,res\\MapData\\soil2.dds,res\\MapData\\soil2_NRM.dds,200,-180,400
res\\MapData\\stone.FBX,res\\MapData\\stone.dds,res\\MapData\\stone_NRM.dds,250,-180,400
res\\MapData\\stone2.FBX,res\\MapData\\stone2.dds,res\\MapData\\stone2_NRM.dds,400,-160,595
res\\MapData\\tree.FBX,res\\MapData\\tree.dds,res\\MapData\\tree_NRM.dds,397,-180,450
res\\MapData\\tree2.FBX,res\\MapData\\tree2.dds,res\\MapData\\tree2_NRM.dds,250,-180,400
res\\MapData\\bosss.FBX,res\\MapData\\boss.dds,res\\MapData\\boss_NRM.dds,500,0,500
res\\MapData\\gate_fix.FBX,res\\MapData\\gate.dds,res\\MapData\\gate_NRM.dds,0,0,0
